timestamp,theta,delta,attention,meditation,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,SDNN_over_RMSSD,CVNN,SDNN,RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num,event
2023-07-12_17:40:07.310713,23239,75564,57,30,4298,1365,1816,3127,4556,646,0,0,832,71,0.67770365,0.070156525,57.04660862,84.1763338,0.933333333,0.7,0.433333333,0.333333333,0.266666667,0,0,0,0,
2023-07-12_17:40:08.335409,7922,5644,60,40,565,3100,1123,1348,2953,1645,0,0,804,71,0.679906292,0.069675386,56.743634,83.45802166,0.933333333,0.733333333,0.466666667,0.333333333,0.266666667,0,0,0,0,
2023-07-12_17:40:09.358090,23142,303250,47,35,1610,4360,5190,5814,2437,583,0,0,816,72,0.679882501,0.069552854,56.68093938,83.36872812,0.933333333,0.7,0.466666667,0.333333333,0.266666667,0,0,0,0,
2023-07-12_17:40:10.378794,6394,57241,57,51,567,2114,1926,3876,2241,955,0,0,840,71,0.681134226,0.069700945,56.83879739,83.44727842,0.933333333,0.7,0.466666667,0.333333333,0.266666667,0,0,0,0,
2023-07-12_17:40:11.397705,21476,45750,63,60,9903,14423,5902,9850,10879,2042,0,0,852,71,0.687222719,0.07002733,57.20299137,83.23792239,0.933333333,0.7,0.466666667,0.333333333,0.266666667,0,0,0,0,
2023-07-12_17:40:12.420408,7761,6437,78,63,1093,12348,5339,15424,7971,1356,0,0,798,72,0.679151854,0.069488849,56.81408276,83.65446172,0.933333333,0.7,0.466666667,0.366666667,0.3,0,0,0,0,
2023-07-12_17:40:13.441473,27064,78780,69,63,3828,2120,3405,2478,2225,741,0,0,886,71,0.688327413,0.070688253,58.09631849,84.40215719,0.966666667,0.733333333,0.5,0.433333333,0.3,0,0,0,0,
2023-07-12_17:40:14.458873,21248,3660,66,64,2803,8470,9245,8921,4183,1828,0,0,862,71,0.695082642,0.070456286,58.08885913,83.5711549,0.966666667,0.766666667,0.5,0.433333333,0.3,0,0,0,0,
2023-07-12_17:40:15.482558,140985,862890,57,48,6321,5674,2785,13309,3487,3176,0,0,796,71,0.654020753,0.066241988,54.79095627,83.77556223,0.966666667,0.766666667,0.5,0.433333333,0.3,0,0,0,0,
2023-07-12_17:40:16.507574,40528,40200,38,40,7690,1080,2082,3389,1164,511,0,0,846,71,0.678565097,0.06507506,53.98193113,79.55306188,0.966666667,0.766666667,0.5,0.433333333,0.3,0,0,0,0,
